,Composition,Traces Active,Champions,Total Items
0,A.D.M.I.N. / AegisHacker,"['A.D.M.I.N.', 'Aegis', 'Hacker', 'Heart', 'Mascot', 'Ox Force', 'Prankster']","['Annie', 'Zoe', 'Leblanc', 'Alistar', 'Soraka', 'Ekko', 'Syndra', 'Nunu']",8
1,Samira / ApheliosCivilian,"['Arsenal', 'Civilian', 'Forecaster', 'Ace', 'Aegis', 'Mascot', 'Ox Force']","['Galio', 'Sivir', 'Senna', 'Alistar', 'Zac', 'Samira', 'Leona', 'Janna', 'Aphelios']",8
2,TaliyahStar Guardian,"['Forecaster', 'Aegis', 'Civilian', 'Ox Force', 'Star Guardian']","['Lux', 'Annie', 'Sona', 'Leblanc', 'Alistar', 'Taliyah', 'Ekko', 'Janna']",8
3,Bel'Veth / Aurelion SolCorrupted,['Corrupted'],"['Velkoz', 'Rammus', 'Chogath', 'Zac', 'Belveth', 'AurelionSol', 'Urgot', 'Fiddlesticks']",8
4,ZedBrawler,"['Ace', 'Brawler', 'Duelist', 'Hacker', 'Prankster']","['Renekton', 'Yasuo', 'Zoe', 'Senna', 'Zed', 'Sejuani', 'Ekko', 'Mordekaiser']",8
5,Viego / Aphelios6 OxForce,"['Arsenal', 'Ox Force', 'Renegade', 'Aegis']","['Talon', 'Fiora', 'Annie', 'Alistar', 'Viego', 'Ekko', 'Leona', 'Aphelios']",8
6,Defender / AegisAce,"['Defender', 'Brawler', 'Ace', 'Aegis']","['WuKong', 'Vi', 'Rell', 'Draven', 'Riven', 'Jax', 'Sett', 'Sejuani', 'Leona']",8
7,Miss FortuneAnima Squad,"['Forecaster', 'Brawler', 'Ace', 'Aegis', 'Anima Squad', 'Civilian', 'Prankster']","['Vi', 'LeeSin', 'Jinx', 'Riven', 'Sejuani', 'MissFortune', 'Ekko', 'Janna']",8
8,Defender / AegisBrawler,"['Defender', 'Ace', 'Aegis', 'Brawler']","['WuKong', 'Poppy', 'Draven', 'Riven', 'Jax', 'Sett', 'Ekko', 'Leona']",8
9,ZedHacker,"['Forecaster', 'Hacker', 'Aegis', 'Brawler', 'Civilian', 'Duelist', 'Prankster']","['Yasuo', 'Vi', 'Zoe', 'Leblanc', 'Zed', 'Sejuani', 'Ekko', 'Janna']",8
10,AsheSupers,"['Supers', 'Brawler', 'Duelist', 'Recon']","['Renekton', 'Gangplank', 'Ashe', 'Vi', 'Malphite', 'LeeSin', 'Vayne', 'Sejuani']",8
11,Miss Fortune / SamiraDefender,"['Ace', 'Defender']","['WuKong', 'Draven', 'Jax', 'Sett', 'Samira', 'MissFortune', 'Mordekaiser', 'Leona']",8
12,Miss Fortune / ApheliosAnima Squad,"['Anima Squad', 'Arsenal', 'Ace', 'Aegis', 'Mascot', 'Ox Force', 'Prankster']","['Nasus', 'Jinx', 'Vayne', 'Riven', 'Alistar', 'MissFortune', 'Ekko', 'Aphelios']",8
13,Miss FortuneDefender,"['Defender', 'Ace', 'Aegis', 'Anima Squad', 'Prankster']","['WuKong', 'Rell', 'Jinx', 'Riven', 'Sett', 'MissFortune', 'Ekko', 'Leona']",8
14,Taliyah / Kai'Sa7 StarGuardian,"['Star Guardian', 'Defender', 'Heart']","['Lux', 'Yuumi', 'Rell', 'Riven', 'KaiSa', 'Taliyah', 'Ekko', 'Syndra']",8
15,Zed6 Duelist,"['Duelist', 'Supers']","['Kayle', 'Gangplank', 'Yasuo', 'Malphite', 'LeeSin', 'Fiora', 'Vayne', 'Zed']",8
16,AsheSupers,"['Supers', 'Brawler', 'Duelist', 'Heart', 'Mascot', 'Recon']","['Renekton', 'Gangplank', 'Ashe', 'Yuumi', 'Yasuo', 'Malphite', 'LeeSin', 'Ezreal']",8
17,Kai'SaAnima Squad,"['Aegis', 'Anima Squad', 'Brawler', 'Duelist', 'Prankster', 'Recon', 'Star Guardian']","['Vi', 'Jinx', 'Vayne', 'Riven', 'Nilah', 'KaiSa', 'Ekko']",8
18,Supers / BrawlerDefender,"['Supers', 'Ace', 'Brawler', 'Defender']","['WuKong', 'Gangplank', 'Malphite', 'LeeSin', 'Draven', 'Jax', 'Sett', 'Leona']",8
